Category,Type,year,rate
Sri Lanka,Total,2014,24.9
Sri Lanka,Total,2015,27.1
Sri Lanka,Total,2016,27.6
Sri Lanka,Total,2017,28.6
Sri Lanka,Total,2018,29
Sri Lanka,Total,2019,30.8
Sri Lanka,Total,2020,32.3
Sri Lanka,Total,2021,34.3
Urban,Sector,2021,49
Rural,Sector,2021,32.3
Estate,Sector,2021,13.9
Western,Province,2021,45.9
Central,Province,2021,31.6
Southern,Province,2021,30.7
Northern,Province,2021,27.9
Eastern,Province,2021,28.9
North Western,Province,2021,31.2
North Central,Province,2021,23.4
Uva,Province,2021,24.2
Sabaragamuwa,Province,2021,34.1
Sri Lanka,Total,2022,36
Urban,Sector,2022,48.9
Rural,Sector,2022,34.6
Estate,Sector,2022,11.5
Western,Province,2022,47.5
Central,Province,2022,33.7
Southern,Province,2022,33.9
Northern,Province,2022,31.4
Eastern,Province,2022,30.2
North Western,Province,2022,33.1
North Central,Province,2022,24
Uva,Province,2022,24.1
Sabaragamuwa,Province,2022,35.3
Sri Lanka,Total,2023,39
Urban,Sector,2023,52.9
Rural,Sector,2023,37.1
Estate,Sector,2023,17.9
Western,Province,2023,49.9
Central,Province,2023,37
Southern,Province,2023,39.6
Northern,Province,2023,38.2
Eastern,Province,2023,34.3
North Western,Province,2023,31.7
North Central,Province,2023,29.3
Uva,Province,2023,26.5
Sabaragamuwa,Province,2023,37
Western,Province,2020,45.2
Central,Province,2020,31.9
Southern,Province,2020,31.6
Northern,Province,2020,18
Eastern,Province,2020,19.7
North Western,Province,2020,29.3
North Central,Province,2020,22.5
Uva,Province,2020,22.3
Sabaragamuwa,Province,2020,32
Western,Province,2019,44.1
Central,Province,2019,28.8
Southern,Province,2019,31.2
Northern,Province,2019,19.3
Eastern,Province,2019,15.7
North Western,Province,2019,29.1
North Central,Province,2019,21.7
Uva,Province,2019,21.6
Sabaragamuwa,Province,2019,27.2
Western,Province,2018,40
Central,Province,2018,28.7
Southern,Province,2018,30.6
Northern,Province,2018,19.5
Eastern,Province,2018,14.8
North Western,Province,2018,29.8
North Central,Province,2018,21.6
Uva,Province,2018,18.8
Sabaragamuwa,Province,2018,23.5
Western,Province,2017,38.8
Central,Province,2017,28.8
Southern,Province,2017,29.3
Northern,Province,2017,16.9
Eastern,Province,2017,14.7
North Western,Province,2017,28
North Central,Province,2017,23.6
Uva,Province,2017,17.9
Sabaragamuwa,Province,2017,26.8
Western,Province,2016,38.1
Central,Province,2016,26.3
Southern,Province,2016,27.4
Northern,Province,2016,21.1
Eastern,Province,2016,14.8
North Western,Province,2016,27.1
North Central,Province,2016,21.7
Uva,Province,2016,18.3
Sabaragamuwa,Province,2016,24
Western,Province,2015,38.4
Central,Province,2015,25.9
Southern,Province,2015,27.3
Northern,Province,2015,19.4
Eastern,Province,2015,13.2
North Western,Province,2015,25.3
North Central,Province,2015,21.7
Uva,Province,2015,17.8
Sabaragamuwa,Province,2015,22.1
Western,Province,2014,35.6
Central,Province,2014,23.4
Southern,Province,2014,24.8
Northern,Province,2014,16.8
Eastern,Province,2014,14.4
North Western,Province,2014,23.3
North Central,Province,2014,16.6
Uva,Province,2014,15.6
Sabaragamuwa,Province,2014,21.7
