Category,Type,Subcategory,Year,Internet (%)
Sri Lanka,Total,Total,2023,51.2
Sri Lanka,Total,Total,2022,48.3
Sri Lanka,Total,Total,2021,44.5
Sri Lanka,Total,Total,2020,36
Sri Lanka,Total,Total,2019,30.3
Sri Lanka,Total,Total,2018,26.8
Sri Lanka,Total,Total,2017,22.7
Sri Lanka,Total,Total,2016,16.4
Sri Lanka,Total,Total,2015,12.1
Sri Lanka,Total,Total,2014,10.5
Urban,Sector,Urban,2023,66.9
Rural,Sector,Rural,2023,48.8
Estate,Sector,Estate,2023,32.4
Urban,Sector,Urban,2022,62.2
Rural,Sector,Rural,2022,46.6
Estate,Sector,Estate,2022,27.1
Urban,Sector,Urban,2021,61.2
Rural,Sector,Rural,2021,42
Estate,Sector,Estate,2021,26
Urban,Sector,Urban,2020,54.5
Rural,Sector,Rural,2020,33.3
Estate,Sector,Estate,2020,13.9
Urban,Sector,Urban,2019,47.4
Rural,Sector,Rural,2019,27.5
Estate,Sector,Estate,2019,12.2
Urban,Sector,Urban,2018,42.7
Rural,Sector,Rural,2018,24.3
Estate,Sector,Estate,2018,9
